title,platform,IGNScore,CommScore,CommRaters,genre,publisher,developer,releaseDate,reviewDate
Thief,PC,6.8,7.6,315,Adventure,Square Enix,Eidos Interactive,25.02.2014,24.02.2014
Thief,Xbox One,6.8,7.4,140,Adventure,Square Enix,Eidos Interactive,25.02.2014,24.02.2014
Dark Souls II,PlayStation 3,9,9.3,457,Action,Bandai Namco Games,FromSoftware,11.03.2014,11.03.2014
Hearthstone: Heroes of WarCraft,PC,9,8.2,72,Card,Blizzard Entertainment,Blizzard Entertainment,11.03.2014,13.03.2014
Steel Diver: Sub Wars,Nintendo 3DS,7.8,6.6,19,Shooter,Nintendo,Nintendo,13.02.2014,13.03.2014
Hearthstone: Heroes of WarCraft,iPad,9,8.2,15,Card,Blizzard Entertainment,Blizzard Entertainment,02.04.2014,13.03.2014
One Piece: Romance Dawn,Nintendo 3DS,5,8.3,27,RPG,Bandai Namco Games,Three Rings Inc.,06.02.2014,17.03.2014
Metal Gear Solid V: Ground Zeroes,PlayStation 4,8,8.2,277,Action,Konami,Kojima Productions,18.03.2014,18.03.2014
Hearthstone: Heroes of WarCraft,Macintosh,9,9.1,105,Card,Blizzard Entertainment,Blizzard Entertainment,11.03.2014,13.03.2014
Metal Gear Solid V: Ground Zeroes,Xbox 360,8,8.3,146,Action,Konami,Kojima Productions,18.03.2014,18.03.2014
Metal Gear Solid V: Ground Zeroes,PlayStation 3,8,8.4,160,Action,Konami,Kojima Productions,18.03.2014,18.03.2014
Metal Gear Solid V: Ground Zeroes,Xbox One,8,7.2,82,Action,Konami,Kojima Productions,18.03.2014,18.03.2014
Master Reboot,PC,6.2,4.7,3,Adventure,Wales Interactive,Wales Interactive,03.12.2013,18.03.2014
Master Reboot,PlayStation 3,6.2,7.3,2,Adventure,Wales Interactive,Wales Interactive,04.03.2014,18.03.2014
Infamous: Second Son,PlayStation 4,8.7,8.9,1736,Action,Sony Computer Entertainment,Sucker Punch,21.03.2014,20.03.2014
Yaiba: Ninja Gaiden Z,Xbox 360,5.6,4.1,12,Action,Tecmo KOEI,Spark Unlimited,18.03.2014,18.03.2014
Yaiba: Ninja Gaiden Z,PlayStation 3,5.6,7,24,Action,Tecmo KOEI,Spark Unlimited,18.03.2014,18.03.2014
Luftrausers,PlayStation Vita,8.7,7.6,12,Action,Devolver Digital,Vlambeer,18.03.2014,21.03.2014
Professor Layton vs. Phoenix Wright,Nintendo 3DS,7.8,9.3,22,Adventure,Nintendo,Level-5,29.08.2014,21.03.2014
Luftrausers,PC,8.7,5.1,5,Action,Devolver Digital,Vlambeer,18.03.2014,21.03.2014
Deus Ex: The Fall,PC,3,3.3,28,Shooter,Square Enix,Eidos Interactive,25.03.2014,24.03.2014
Bioshock Infinite: Burial at Sea -- Episode Two,PC,8.8,8.8,54,Shooter,2K Games,Irrational Games,25.03.2014,25.03.2014
TowerFall Ascension,PlayStation 4,8.9,8.4,50,Action,Independent,Independent,11.03.2014,25.03.2014
TowerFall Ascension,PC,8.9,8.8,13,Action,Independent,Independent,11.03.2014,25.03.2014
Pokemon Battle Trozei,Nintendo 3DS,7,8.4,32,Puzzle,Nintendo,,20.03.2014,24.03.2014
Castlevania: Lords of Shadow 2,PC,6.5,8.2,120,Action,Konami,MercurySteam,,25.02.2014
Castlevania: Lords of Shadow 2,PlayStation 3,6.5,8.8,223,Action,Konami,MercurySteam,25.02.2014,25.02.2014
Thief,PlayStation 3,6.5,7.3,61,Adventure,Square Enix,Eidos Interactive,25.02.2014,26.02.2014
Thief,Xbox 360,6.5,7.5,81,Adventure,Square Enix,Eidos Interactive,25.02.2014,26.02.2014
South Park: The Stick of Truth,Xbox 360,9,9.3,181,RPG,Ubisoft,Obsidian Entertainment,04.03.2014,04.03.2014
South Park: The Stick of Truth,PC,9,9.3,270,RPG,Ubisoft,Obsidian Entertainment,04.03.2014,04.03.2014
Plants vs. Zombies: Garden Warfare,Xbox One,7.8,8.4,244,Shooter,Electronic Arts,PopCap Games,25.02.2014,25.02.2014
South Park: The Stick of Truth,PlayStation 3,9,9.1,495,RPG,Ubisoft,Obsidian Entertainment,04.03.2014,04.03.2014
Castlevania: Lords of Shadow 2,Xbox 360,6.5,8.5,178,Action,Konami,MercurySteam,25.02.2014,25.02.2014
The Witch and the Hundred Knight,PlayStation 3,5.8,8.3,46,Action,NIS,NIS,25.03.2014,04.03.2014
The Walking Dead: Season Two -- Episode 2: A House Divided,PlayStation 3,9.5,9.6,14,Adventure,Telltale Games,Telltale Games,04.03.2014,04.03.2014
The Walking Dead: Season Two -- Episode 2: A House Divided,PlayStation Vita,9.5,5.9,3,Adventure,Telltale Games,Telltale Games,22.04.2014,04.03.2014
The Walking Dead: Season Two -- Episode 2: A House Divided,PC,9.5,9.5,63,Adventure,Telltale Games,Telltale Games,04.03.2014,04.03.2014
The Walking Dead: Season Two -- Episode 2: A House Divided,Xbox 360,9.5,8.9,9,Adventure,Telltale Games,Telltale Games,05.03.2014,04.03.2014
Basement Crawl,PlayStation 4,3,1.5,35,Action,Bloober Team,Bloober Team,25.02.2014,06.03.2014
Final Fantasy X / X-2 HD Remaster,PlayStation Vita,9.3,9.4,163,RPG,Square Enix,Square,18.03.2014,10.03.2014
Final Fantasy X / X-2 HD Remaster (Limited Edition),PlayStation 3,9.3,9.4,76,RPG,Square Enix,Square,18.03.2014,10.03.2014
The Walking Dead: Season Two -- Episode 2: A House Divided,iPhone,9.5,-1,-1,Adventure,Telltale Games,Telltale Games,06.03.2014,04.03.2014
Titanfall,PC,8.9,8.2,248,Shooter,Electronic Arts,Respawn Entertainment,11.03.2014,10.03.2014
Final Fantasy X / X-2 HD Remaster,PlayStation 3,9.3,9.3,218,RPG,Square Enix,Square,18.03.2014,10.03.2014
Titanfall (Collector's Edition),Xbox One,8.9,8.1,72,Shooter,Electronic Arts,Respawn Entertainment,11.03.2014,10.03.2014
Titanfall,Xbox 360,8.9,8.6,108,Shooter,Electronic Arts,Respawn Entertainment,08.04.2014,10.03.2014
Titanfall,Xbox One,8.9,8.4,741,Shooter,Electronic Arts,Respawn Entertainment,11.03.2014,10.03.2014
Dark Souls II,PC,9,8,202,Action,Bandai Namco Games,FromSoftware,25.04.2014,11.03.2014
Borderlands 2,PlayStation Vita,5.4,8.3,101,Shooter,Sony Computer Entertainment,Gearbox Software,13.05.2014,12.05.2014
The Walking Dead: Season Two -- Episode 3: In Harm's Way,PC,9,-1,-1,Adventure,Telltale Games,Telltale Games,,13.05.2014
Sportsfriends,PC,8.7,-1,-1,Action,Independent,Independent,TBA,15.05.2014
Super TIME Force,Xbox One,7.5,7.5,18,Shooter,Capybara Games,Capybara Games,14.05.2014,14.05.2014
Super TIME Force,Xbox 360,7.5,7.2,4,Shooter,Capybara Games,Capybara Games,14.05.2014,14.05.2014
Sportsfriends,PlayStation 4,8.7,5.1,9,Action,Independent,Independent,06.05.2014,15.05.2014
Sportsfriends,PlayStation 3,8.7,6.4,5,Action,Independent,Independent,06.05.2014,15.05.2014
Mario Kart 8,Wii U,9,9.3,455,Racing,Nintendo,Nintendo,30.05.2014,15.05.2014
Wolfenstein: The New Order,Xbox One,7.8,8.8,84,Shooter,Bethesda Softworks,MachineGames,20.05.2014,20.05.2014
Wolfenstein: The New Order,PC,7.8,8.6,240,Shooter,Bethesda Softworks,MachineGames,20.05.2014,20.05.2014
Transistor,PlayStation 4,9,8.3,91,Action,Supergiant Games,Supergiant Games,20.05.2014,20.05.2014
Wolfenstein: The New Order,Xbox 360,7.8,8.5,160,Shooter,Bethesda Softworks,MachineGames,20.05.2014,20.05.2014
Transistor,PC,9,8.5,65,Action,Supergiant Games,Supergiant Games,20.05.2014,20.05.2014
Drakengard 3 (Collector's Edition),PlayStation 3,4.8,6.4,15,Action,Square Enix,Access Games (JP),21.05.2014,20.05.2014
Drakengard 3,PlayStation 3,4.8,8.7,58,Action,Square Enix,Access Games (JP),21.05.2014,20.05.2014
Hyperdimension Neptunia: Producing Perfection,PlayStation Vita,4,5.4,26,Simulation,NIS,Compile Heart,03.06.2014,23.05.2014
Wolfenstein: The New Order,PlayStation 3,7.8,8.4,32,Shooter,Bethesda Softworks,MachineGames,20.05.2014,20.05.2014
Wolfenstein: The New Order,PlayStation 4,7.8,8.5,207,Shooter,Bethesda Softworks,MachineGames,20.05.2014,20.05.2014
Watch Dogs,Xbox One,8.4,8.3,207,Action,Ubisoft,Ubisoft,27.05.2014,27.05.2014
Watch Dogs,PC,8.4,8.3,404,Action,Ubisoft,Ubisoft,27.05.2014,27.05.2014
Watch Dogs,PlayStation 4,8.4,8.1,1105,Action,Ubisoft,Ubisoft,27.05.2014,27.05.2014
Watch Dogs,Xbox 360,8.4,8.3,235,Action,Ubisoft,Ubisoft,27.05.2014,27.05.2014
Watch Dogs,PlayStation 3,7.5,8.6,229,Action,Ubisoft,Ubisoft,27.05.2014,29.05.2014
The Wolf Among Us: Episode 4 -- In Sheep's Clothing,PC,6,-1,-1,Adventure,Telltale Games,Telltale Games,,27.05.2014
